year,length_mm,width_mm,depth_mm,wheel_base,battery_capacity_avg,range_CLTC_avg,seats,brand_group_encoded,brand_category_encoded,powertrain_插混,powertrain_燃油,powertrain_纯电,ADAS_Level_L2,ADAS_Level_L2+,battery_type_clean_LFP,battery_type_clean_NCM,battery_type_clean_Other,battery_type_clean_Unknown,battery_supplier_clean_CATL,battery_supplier_clean_Other,body_type_SUV,body_type_other,body_type_轿车,size_large,size_medium,size_micro,size_other,size_small
2021,4425,1863.0,1651,2702.0,71.0,420.0,5,3.0976896923951696,3.6650119113095108,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False
2023,4619,1860.0,1628,2770.0,57.9,451.0,5,3.0976896923951696,3.1959619909384864,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
2022,4865,1948.0,1700,2890.0,63.2,130.0,5,2.3626704134875314,2.6634079170556793,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False
2021,4641,1815.0,1450,2712.0,54.0,403.956932460733,5,3.0976896923951696,3.17871221731275,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False
2026,4990,1970.0,1455,3000.0,87.3,765.0,5,3.0976896923951696,3.1959619909384864,False,False,True,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False
2023,5293,1988.0,1785,3160.0,93.0,650.666666666667,7,3.197676686485871,3.1959619909384864,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2026,4800,1900.0,1460,2880.0,71.1,650.0,5,3.0976896923951696,3.1959619909384864,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False
2025,5130,1970.0,1800,3000.0,40.7,232.5,7,3.027027821700188,2.6634079170556793,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2022,5209,2024.0,1856,3205.0,128.0,762.0,7,3.424367008964497,3.6652144182541018,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
2026,5180,2000.0,1790,3080.0,45.8,215.0,7,3.424367008964497,3.1959619909384864,True,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False
2022,4603,1900.0,1658,2775.0,90.0,591.0,5,3.0976896923951696,3.17871221731275,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False
2022,4699,1890.0,1660,2795.0,28.4,218.838204804573,5,2.3626704134875314,2.6634079170556793,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False
2021,4730,1886.0,1621,2984.0,80.3,619.0,5,3.0976896923951696,3.17871221731275,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
2021,4615,1887.0,1630,2711.0,59.3333333333333,442.523334055767,5,3.0976896923951696,3.6650119113095108,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False
2026,4260,1790.0,1550,2650.0,54.42,550.0,5,3.0976896923951696,3.1959619909384864,False,False,True,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True
2022,4900,1925.0,1655,2950.0,83.5,599.666666666667,5,3.0976896923951696,2.8964051774756765,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False
